"","SLC25A31","HACE1","EPHA6","VCAM1","ZNF154","ANP32B","PHF2","AASDH","NEK9","OR6C74","ARFGEF1","IFIH1","MAPK10","TYRO3","ADAMTS5","MGAT5","RPRD1B","LONP1","GRIK3","OPN1LW","FLT1","TP53","SDC2","SP5","DBNL","POLQ","NEB","PDE4DIP","OR4C15","WASF1","CACNA1B","OPRD1","TCF7L2","UNC13C","KALRN","TRAF3","RYR2","PCLO","IRF5","NINL","ATP2B4","LAMTOR2"
"G-protein beta:gamma signalling",0.759234741216808,0.825200275360255,0.83263744078005,0.830920830318377,0,0,0,0,0.759954969675966,0.903232258276314,0.833235603954606,0.833189414605307,0.895683888487038,0.838951598528441,0,0,0,0,0.900608554070483,0.900730652635385,0.896103423049502,0.822241162631388,0.829442888724234,0.761943688233305,0.83263744078005,0,0.761409137122505,0.835129051975856,0.903232258276314,0.831358198859265,0.897398150816153,0.893915293672258,0.825280261662492,0,0.894494037745375,0.896333560337065,0.825614118718482,0,0.830444889756838,0.824628881171327,0.832571112937169,0.829516841199786
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0.691554279516816,0.699292209237135,0.695624204880445,0,0,0,0,0,0.704536199891759,0.706838463940488,0,0.780737959202368,0,0,0,0,0,0.701146801051653,0.701304532526618,0.695326904958526,0.774942482863623,0.695165367877283,0.706838463940488,0.699292209237135,0,0,0,0.704536199891759,0.697639636865262,0.69699948252302,0.692500197909481,0.780838476580345,0,0.693247841064446,0.695624204880445,0.604255168741189,0,0.695009367131717,0,0,0
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",0,0.753225740860377,0.662702047775774,0.760216478658026,0,0,0,0,0.661195602335524,0,0,0.759801916201002,0.849272528993399,0,0,0,0,0.764594535086963,0,0,0.757241539848566,0.753154073643565,0.759728066224428,0,0.76058680732296,0,0,0,0,0,0,0,0.760974021134068,0,0,0.863994066332278,0,0,0.759562010079741,0,0,0.761614987228449
"NCAM signaling for neurite out-growth",0.598719719082873,0.640169939819261,0.644504903880036,0.640428520083103,0,0,0,0,0.597582706072067,0.647134800120152,0.649115137862035,0.643524190485715,0.641131835201335,0.599073712500304,0.597603300785694,0,0.549996039520575,0,0.645608324932359,0.645683900367936,0.688304125108795,0.643285858443183,0.640502413666087,0.650493548077092,0.644961724882888,0,0.596871227065148,0.647694362043251,0.647134800120152,0.644447288329134,0.681371001718457,0.641465392782185,0.643545227318689,0,0.641823618412832,0.642962229020019,0.682055833260482,0,0.638357919406134,0.643392585092653,0.647310477880489,0.596627879074262
"G beta:gamma signalling through PI3Kgamma",0.719346239854483,0.794373738995431,0.802165736238368,0.798912340889456,0,0,0,0,0,0.883054392979721,0.803051204112279,0.801511720591572,0.874405351669091,0,0,0,0,0,0.88004811126637,0.880188013730251,0.874886060996175,0.793027545846867,0.798505368043507,0.722092434409486,0.802165736238368,0,0.712331725509968,0.805020663694779,0.883054392979721,0.800699960643368,0.876369580517926,0.872378867800147,0.793735764218734,0,0.873042001898821,0.798912340889456,0.794118302905856,0,0.792559196797924,0.792989402165165,0.802089736748528,0.799103573544559
"Collagen chain trimerization",0,0,0,0.833166841094167,0,0,0,0,0,0,0,0,0.768893860557865,0,0.838110315846102,0,0.770515075520194,0,0,0,0.833645651355218,0.827766089503503,0.832848321844389,0,0.772388838549727,0,0,0,0,0.834565930268232,0,0,0.769970505129312,0,0.767826828321353,0,0.769258819223531,0,0.833425220331403,0.768375279644469,0,0
"Interleukin-10 signaling",0.782058997290074,0.772949027769073,0.842494004460189,0.837675734987825,0,0,0.784864007943831,0,0.777846321047901,0.844387702663894,0.843120527466105,0.779544050625916,0.839386257245264,0.776406604991409,0.779024462220888,0,0,0.784013662232427,0.839196149468345,0.839304904667308,0.898024137538672,0.835390300303589,0.838648503768072,0.783025459311539,0.841493943800127,0,0.779597479463095,0.785346242749803,0.844387702663894,0.841354562651608,0.836568437987905,0.896075134731225,0.84045562422129,0,0.836037241975093,0.83526625741778,0.777855886125409,0,0.837818990917948,0.776256367863708,0.783067844397528,0.777684621752638
"PLC beta mediated events",0.763876181167974,0.69021627762695,0.766408471177245,0.761162931122493,0,0.636008047823777,0,0,0.706120342389176,0.766071267023618,0.768789893203378,0.70166545774018,0.764896035586897,0,0,0,0.760157624745607,0,0.763920550087756,0.76007150400203,0.760502064350437,0.760972882375908,0.76142999653782,0.770480530915744,0.765372216837662,0.700319975899792,0.763439125045973,0.761715071879873,0.766071267023618,0.764024141460636,0.760379297237056,0.818498331870614,0.763370974557984,0,0.820501333231965,0.76018211865681,0.820865586930417,0.767934757085178,0.758976831527974,0.761358911655058,0.764179670052917,0.761909648566912
"Assembly of collagen fibrils and other multimeric structures",0,0.803945636441411,0.839035278024236,0.869235609987239,0,0,0,0,0,0,0,0.806431256680911,0.872074765330185,0,0.871733790021407,0,0.837407958645777,0,0,0,0.870336986058706,0.870656348309533,0.872334178847252,0.877259410302981,0.839114582905884,0,0.83823574004827,0,0,0.869885346553919,0,0.836884175737429,0.872110455014593,0,0.837149633798375,0.838053295141679,0.836765415110829,0,0.869584917231733,0.872326667080827,0,0.837786193476164
"Translocation of ZAP-70 to Immunological synapse",0.570815709787974,0.696843196968069,0.707999813405351,0.704802484739335,0,0,0,0,0,0.717651879038059,0.573025028978446,0.561081635208607,0.703592417297727,0.717669220456121,0,0,0,0,0.712765013406192,0.706391871794067,0.704373835046772,0.695236447559086,0.702049696537724,0,0.83192765482896,0,0.571014742319053,0.724172761884196,0.717651879038059,0.82954496116874,0.70018481210634,0.696697354519767,0.701041626167787,0,0.699284989189343,0.701201575775603,0.706450413373408,0,0.703916006161519,0.704615327124846,0.719408389304094,0.560841724390176
"Classical antibody-mediated complement activation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0.539207271647507,0,0,0,0,0,0,0,0,0,0,0,0.543504022333508,0,0,0,0.242145255800015,0,0,0,0,0,0,0,0.256085432913992,0,0,0.253984358178847,0,0,0,0,0,0.251846627273043,0,0,0
"Ethanol oxidation",0,0,0.591023211566332,0,0,0,0,0,0,0,0,0,0,0.610788652575631,0,0,0,0,0,0,0.585407976969864,0.583621755652529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
