"","OBSCN","ZFP36L1","GRIA2","DST","INO80","KRAS","SYNE2","DNAH17","APC","BRD3","KIF26B","GEMIN5","GRIK4","CDC27","GNB5","GNB3","CHRDL1","NEFH","RASGRF1","TPO","ANK2","UBE2Q1","CHD1L","GATA5","SMO","IVL","KATNA1","OR2W3","DPYS","ARHGAP35","CACNA1H","OR6Y1","MYBPC2","AKT1","XRCC1","ZEB2","SOX9","COL4A1","TAS2R3","STX18","A2M","PDCD4","RGS22","GPR132","PTK2B","CSF2","WDSUB1","TAF1L","ZNF335","STAT5A","GK2","OR13H1","TIA1"
"Heme degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589943734068477,0.589921970647555,0,0.604090296958339,0,0,0,0,0,0,0,0.604090296958339,0,0,0,0,0,0,0.660973274446002,0.654543453531999,0,0,0,0,0,0,0.657005684143932,0,0,0,0.596205655312534,0.657833583446219,0,0,0,0.656898546285304,0,0,0
"G beta:gamma signalling through PI3Kgamma",0.819240768474301,0.806240730123886,0.814646638007568,0.741522418399763,0,0.880829389508605,0,0,0.813296959983934,0,0.735428375999272,0.738221184165442,0.817977202136063,0.809296688281465,0.877182333956433,0.871733409184418,0,0.818464870488467,0.883734260648388,0,0.814876956316644,0.810675898703303,0.737839345745496,0,0.814512087856671,0.742920869604133,0,0.889985638764122,0,0.818253243987159,0.811483677682055,0.889985638764122,0.737303291812615,0.879616203734375,0.734577612995135,0,0.819627520336121,0.815179166647291,0.880473730859004,0,0.814069162218314,0.745330663699509,0.819627520336121,0.88147152988039,0.815778851718614,0.816100683246617,0,0.734243226235448,0,0.813694814790171,0,0.889985638764122,0
"Collagen chain trimerization",0,0.80419043127234,0,0.856033527691019,0,0.849083088583331,0,0,0.799479324352763,0,0,0,0,0,0.795749360986875,0.795732126428977,0,0,0.850662182200249,0,0.850159171269481,0,0,0,0,0.806952092305957,0,0,0,0,0.85208197613331,0,0,0.848190838268215,0,0,0,0.905092975286412,0,0,0.853556551682796,0,0,0.798856150766135,0.853324368908853,0.850213640610182,0,0,0,0.853471708696294,0,0,0
"Arachidonic acid metabolism",0.755065883993078,0.792495382739905,0.825919396652743,0,0,0.823696373951778,0.754122452267207,0,0.789274664088652,0,0,0.788824428777069,0,0.788636045092633,0.821943268524012,0.821931775586846,0,0.828430704666582,0.753235721446468,0,0,0.788053026223503,0,0,0.825852624422622,0.795604477623264,0.829146578457277,0,0,0.754575812359076,0,0,0.793779667338632,0.823101373089633,0.79146403001664,0,0,0,0.823519873806388,0,0.824401640258638,0.795643983876772,0.829737680568784,0.824015044309179,0.825250095499958,0.824838841500791,0,0.790048430569326,0,0.824345062357504,0.792571076446029,0,0
"G-protein beta:gamma signalling",0.844910050787472,0.83530988648544,0.842310182328074,0.785144235990486,0.777081804799807,0.900534916372385,0,0,0.840037156723272,0,0.775586574223803,0.775829303852195,0.845126912502578,0.837411600343708,0.887809553578096,0.883044931356955,0,0.845736145332865,0.903075118977888,0,0.841565028549086,0.838617668956911,0.775495400245958,0,0.841601791943691,0.779939005323256,0.782452554856766,0.908541718428754,0,0.844517467512769,0.839738174012889,0.908541718428754,0.78145476549975,0.899474030186264,0.775627655309778,0,0.847016140477481,0.843126219346105,0.900223906009132,0.775276178985852,0.841429251190616,0.781575310880536,0.846570054862418,0.901096444428886,0.843650621809192,0.842925952402336,0,0.772350726451647,0,0.842055865692883,0,0.908541718428754,0
"Leishmania infection",0.786816190262345,0.786166926981866,0.786744742815841,0.77130284220638,0.787131202710675,0.78725618877184,0.767687059243504,0.787950229515156,0.785783797709599,0.768768289772642,0.766888285577985,0.767868136007618,0.787459589745448,0.78646325855202,0.80355202284287,0.802195457455326,0.750905127393356,0.787207854516247,0.803830349692627,0.768050570813211,0.786687758078473,0.784652645175354,0.786929305851802,0,0.78721456069393,0.788497795100192,0.788867025827104,0.805386681633061,0.751344547091029,0.787159081905203,0.787422519993948,0.805386681633061,0.769247288751784,0.804362069068137,0.786038421202546,0,0.784823646058241,0.785516995350925,0.803018614014508,0.766799916560404,0.787256370745333,0.789943210670986,0.787033311592225,0.803226829801805,0.785887912487514,0.786785622769096,0.770876047261723,0.786003789915488,0,0.788888836019703,0.770250183132884,0.805386681633061,0.786954617773471
"Parasitic Infection Pathways",0.786816190262345,0.786166926981866,0.786744742815841,0.77130284220638,0.787131202710675,0.78725618877184,0.767687059243504,0.787950229515156,0.785783797709599,0.768768289772642,0.766888285577985,0.767868136007618,0.787459589745448,0.78646325855202,0.80355202284287,0.802195457455326,0.750905127393356,0.787207854516247,0.803830349692627,0.768050570813211,0.786687758078473,0.784652645175354,0.786929305851802,0,0.78721456069393,0.788497795100192,0.788867025827104,0.805386681633061,0.751344547091029,0.787159081905203,0.787422519993948,0.805386681633061,0.769247288751784,0.804362069068137,0.786038421202546,0,0.784823646058241,0.785516995350925,0.803018614014508,0.766799916560404,0.787256370745333,0.789943210670986,0.787033311592225,0.803226829801805,0.785887912487514,0.786785622769096,0.770876047261723,0.786003789915488,0,0.788888836019703,0.770250183132884,0.805386681633061,0.786954617773471
"NCAM1 interactions",0.822358145879179,0,0.867058221239002,0.867724833624577,0,0.907384177216741,0.862395122967801,0,0.86463330616725,0,0,0,0,0.863355093153603,0.905147883024348,0.905133222417957,0,0,0.909223082945238,0,0.86636184659257,0.864228191416306,0,0,0.866973045328833,0,0,0.868738970904997,0,0.867770842604158,0.913332516749106,0.868738970904997,0.821921815724466,0.864191833710675,0,0,0.871403104717599,0.908937142409548,0.863471553692803,0,0.865122142691843,0,0.871403104717599,0.865357329869471,0.866204448124602,0.865679844803336,0,0,0,0.865778307086908,0,0.868738970904997,0
"Signaling by Retinoic Acid",0,0.66816188294432,0.666478605874199,0.671052859970062,0.614017786184967,0.664237145381064,0.617131779136116,0,0.663899423603272,0,0,0.667207540646552,0,0.61337609872979,0.661858583591092,0.661842990312579,0,0,0.613155535236727,0,0,0.614304741380485,0.61391294064274,0,0.665828770564641,0.669549362297187,0,0.617364680014034,0.624018668121202,0,0.663077522839683,0.617364680014034,0,0.759726347964859,0.663931724980848,0,0.672433812194781,0.665941412224388,0.663997675184291,0,0.665194029925874,0.672993052909923,0,0.664669507932514,0.666345188997965,0.6657872116893,0,0.61601881015403,0,0.665117266696656,0.674532434378414,0.617364680014034,0.618590351615443
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735725985398378,0,0,0,0,0.796557633486437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732730039488137,0,0
"G beta:gamma signalling through BTK",0.816382938663634,0.811943484086468,0.815308228984268,0,0,0.810307511326014,0,0,0.810674787616208,0,0.722819027578881,0,0.814972357184815,0.807493484332898,0.868967192382408,0.862884191630471,0,0.816086243324544,0.888380207672739,0,0.805712979177779,0.809033165010962,0,0,0.815158024008808,0,0,0.895358929660086,0,0.816564913819842,0.807723315286596,0.895358929660086,0,0.883798894663163,0,0,0.816814688858831,0,0.884740317314114,0,0.810609619305823,0,0.816814688858831,0.885854209617633,0.813802627583091,0.81287750651493,0,0,0,0.811766744092197,0,0.895358929660086,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0,0.716612463415876,0,0,0,0.707104993499771,0,0,0,0,0,0,0,0.707145517076075,0.70280462993236,0.702776437784023,0,0.719782232433414,0,0,0,0.705715373135954,0,0,0.712394270927227,0.724239065987663,0,0,0,0,0,0,0,0.78724421597341,0.714082557566497,0,0,0,0,0,0,0.724335974736325,0,0,0.710916268870819,0.713016563882603,0,0,0,0.711805324783967,0,0,0
"GABA receptor activation",0.806979615800308,0.803648181807025,0.8438888220103,0,0,0.802620341626957,0,0,0.803229573481272,0,0.763015401700736,0,0.805812304529634,0.798011930444947,0.836449692767112,0.83362632950448,0,0.806148674680901,0.841990970345427,0,0.843969675896994,0,0,0,0.802610736628074,0,0,0.843126706063632,0,0.806467885689734,0.803461451422911,0.843126706063632,0,0.839585293788361,0.803019981193269,0,0.805679505974932,0,0.838197684305261,-0.0281195072981942,0.804299716035112,0,0.802105262427266,0.838714738626639,0.806464070439835,0.801552150065026,0,0.802947897792401,0,0.804784169190966,0,0.843126706063632,0.804927001414166
"Platelet homeostasis",0.745861411866321,0.745740683949759,0.746172110428198,0,0.717380100596171,0.744770500412051,0.716256816517503,0.685679177538987,0.743774731388827,0,0.711636250940583,0.684303348731091,0.747538461568859,0.742007088233048,0.775249611654675,0.771693619272276,0.721150451047362,0.7476715891657,0.774373548313281,0.717858494868143,0.743945409889895,0.714566444726145,0.71611404950229,0,0.745017128358415,0.719636788090752,0.748275222421696,0.776924700658036,0,0.74545840866219,0.74481546616196,0.776924700658036,0.747772833050148,0.775119947160504,0.717273476217371,0,0.747312158271639,0.714298177148569,0.773042944394699,0.683939392742341,0.743823932860741,0.688672725616922,0.747940939144757,0.773450140578625,0.745320249323812,0.744982060643062,0,0.716744634348038,0,0.744576008623171,0,0.776924700658036,0.718303239332187
"Nitric oxide stimulates guanylate cyclase",0,0.46746585993328,0.547477560645032,0,0.463666442897488,0.542338201847481,0,0,0.460202812397586,0,0,0,0.4683057776721,0.456984385331278,0.540206129894559,0.540179559618103,0,0.555556328702614,0.542364953118469,0,0.539338147388746,0.458566752499151,0.460855761534528,0,0.544017185960798,0.471723474058165,0,0.549537154928771,0,0.46493623147889,0.53867494323192,0.549537154928771,0.549111285568137,0.542883527154257,0.545031193991581,0,0.55299896445325,0,0.539083823843343,0,0.461506919249918,0,0.472523190657447,0.542122006909207,0.544977295431454,0.541673442833092,0,0.544871599130562,0,0.461376118006272,0,0.549537154928771,0.549253395267452
"Unblocking of NMDA receptors, glutamate binding and activation",0.825892342110709,0,0.887189462451142,0.755060500145259,0.750143177475865,0.8840031262025,0.747276408504488,0,0.828028296619667,0,0.822669380287668,0,0.821969843988798,0.81680040477117,0.816465858384428,0.816444297931474,0,0.765382396186473,0.886707491860337,0,0.821829737207242,0.744573837537149,0.750908245745954,0,0.824572957717835,0.829873004017962,0,0.826038393388666,0,0.825746229147615,0.820967933412919,0.826038393388666,0.813536713331597,0.820482800690877,0.82210563136625,0,0.82884747900395,0.749977640132578,0.818314636851117,0.822338925456998,0.821077700193204,0,0,0.819243563910877,0.886917867652773,0.823742246505009,0,0,0,0.821744810264253,0,0.826038393388666,0
"Regulation of Complement cascade",0.738308065547759,0.740238332774138,0.737032724229332,0,0,0.734329319341965,0.688742734524448,0.694287313859417,0.690976235659905,0,0.691771239393348,0.734873093376816,0,0.734003652446993,0.73095960953777,0.730945633044192,0,0,0.736082415593291,0,0.735674495118314,0.69574316574425,0,0,0.693198320916636,0,0.696509729497739,0.739136300498116,0,0.647774967582323,0,0.739136300498116,0.737892096013968,0.689877608981232,0,0,0.651738992216141,0.735856879731013,0.732876909988176,0.735120361001782,0.733107729464234,0,0.741282316816869,0.733264458997374,0.736218791017236,0.694464441839948,0,0,0,0.735118185513083,0,0.739136300498116,0
"Glucagon-type ligand receptors",0.842278871126364,0.843179911887512,0.840714702668954,0,0,0.837399056424821,0,0,0.843190322198698,0,0.780070833563764,0,0.845188157983132,0.835533260619451,0.893027000978979,0.888993828500997,0,0.845926702457741,0.893860064776029,0,0.839048874782178,0,0,0,0.84061511165087,0,0,0.898487195305585,0,0.841547927545838,0.840381796139504,0.898487195305585,0,0.890822498108309,0,0,0.846409686674182,0,0.891446693411879,0,0.838450963623267,0,0.846409686674182,0.892185241973291,0.839716437625389,0.839103050826805,0,0,0,0.843062727247579,0,0.898487195305585,0
"Insulin processing",0.746322696373383,0.748563176676547,0.808836584655895,0.681538206316535,0.606874640199741,0.739298709139671,0,0.746205960185407,0.74008122532568,0,0.807560456600475,0,0,0.738788111150525,0.673317235367601,0.673295322272882,0,0,0.74283320324762,0,0.741407747721901,0.597078216381203,0.601971308824546,0,0.744195836219524,0,0.749690382377202,0.606822007266635,0,0.745388297622218,0.744986216798644,0.606822007266635,0.604755670310218,0.738950142261087,0.601165201810846,0,0.675371584519101,0.74356823456447,0.740836718300341,0.80722459686597,0.741429306396699,0.75456648061434,0.75081741164493,0.741780838847868,0.743047019936728,0.743351537932755,0,0,0,0.741321431717785,0,0.606822007266635,0
"Vasopressin regulates renal water homeostasis via Aquaporins",0.852776427146072,0.853334787508059,0.85545531956599,0,0.855132250515575,0.852372093086337,0.7938522216686,0.856824926190986,0.853390443787719,0,0.800153152380044,0,0.856040139530931,0.850637085606899,0.893055628915428,0.889305173268017,0,0.856726913605381,0.901300248960452,0,0.853334581481254,0.851586386199581,0.855145749077683,0,0.855362709666898,0.80079876844967,0.859359585640958,0.905603027460654,0,0.852096721159163,0.853438165758048,0.905603027460654,0.796932230144505,0.89847560926911,0.854559365841812,0,0.848748331700336,0.852406688551238,0.899056049806712,0.85428271766528,0.853350263822773,0,0.85625204348327,0.899742827681488,0.854527030783229,0.85197328796755,0,0.852235488665142,0,0.853271792971862,0,0.905603027460654,0.854864234858954
"Aquaporin-mediated transport",0.852776427146072,0.853334787508059,0.85545531956599,0,0.855132250515575,0.852372093086337,0.7938522216686,0.856824926190986,0.853390443787719,0,0.800153152380044,0,0.856040139530931,0.850637085606899,0.893055628915428,0.889305173268017,0,0.856726913605381,0.901300248960452,0,0.853334581481254,0.851586386199581,0.855145749077683,0,0.855362709666898,0.80079876844967,0.859359585640958,0.905603027460654,0,0.852096721159163,0.853438165758048,0.905603027460654,0.796932230144505,0.89847560926911,0.854559365841812,0,0.848748331700336,0.852406688551238,0.899056049806712,0.85428271766528,0.853350263822773,0,0.85625204348327,0.899742827681488,0.854527030783229,0.85197328796755,0,0.852235488665142,0,0.853271792971862,0,0.905603027460654,0.854864234858954
"Inwardly rectifying K+ channels",0.846324670062935,0.847302169708218,0.844627772232993,0,0,0.841030772888153,0,0,0.842218816267341,0,0.783163442519518,0,0.849480827911881,0.838726671942122,0.896956027023443,0.892580989176915,0,0.8502820424552,0.902282847173117,0,0.845800461289028,0,0,0,0.844519730300766,0,0,0.907302618360333,0,0.845531701396594,0.844266616524527,0.907302618360333,0,0.898987524177477,0,0,0.850154608235059,0,0.899664686315015,0,0.842171940921485,0,0.85052603004985,0.900465905291928,0.843544798223316,0.842879361759296,0,0,0,0.842080394095075,0,0.907302618360333,0
"Class A/1 (Rhodopsin-like receptors)",0.928222455257055,0.91272182146249,0.927484550502634,0,0.912200393368551,0.92709268686734,0.912149518116369,0,0.92721992446846,0,0,0.911744141882048,0,0.926598455254144,0.939768115027383,0.939763574338649,0,0.914566419026133,0.927499385223969,0.912794153193517,0.911833714146162,0.92686887158888,0.927396366720347,0,0.927458169786489,0.914633376278772,0,0.928491532553669,0,0.928191683478427,0.911355055987817,0.928491532553669,0.911474149920509,0.926857610866099,0.927229330476383,0,0.92899309775305,0.927426113044275,0.940391008352242,0.927240560596372,0.927371327107673,0,0.927373998570658,0.940586642861592,0.927706539168781,0.927544058823342,0,0.913233674108787,0,0.940717028089703,0,0.928491532553669,0
"GABA B receptor activation",0.852407065485224,0.852480098103077,0.852543545011555,0,0,0.851072694786734,0,0,0.849026351184021,0,0.79684235345874,0,0.85544339293805,0.844762479145815,0.897394624895774,0.893528643689625,0,0.855903978616244,0.902101643968426,0,0.8526542568036,0,0,0,0.851059542832236,0,0,0.906537340698306,0,0.851706362527061,0.852224411502223,0.906537340698306,0,0.899189747610901,0.851619914152037,0,0.85526155423402,0,0.899788118685408,0,0.848737526299908,0,0.850367405980282,0.900496111990933,0.8515865802229,0.849610039039368,0,0.851521211630573,0,0.851537185354009,0,0.906537340698306,0.854231163094499
"Activation of GABAB receptors",0.852407065485224,0.852480098103077,0.852543545011555,0,0,0.851072694786734,0,0,0.849026351184021,0,0.79684235345874,0,0.85544339293805,0.844762479145815,0.897394624895774,0.893528643689625,0,0.855903978616244,0.902101643968426,0,0.8526542568036,0,0,0,0.851059542832236,0,0,0.906537340698306,0,0.851706362527061,0.852224411502223,0.906537340698306,0,0.899189747610901,0.851619914152037,0,0.85526155423402,0,0.899788118685408,0,0.848737526299908,0,0.850367405980282,0.900496111990933,0.8515865802229,0.849610039039368,0,0.851521211630573,0,0.851537185354009,0,0.906537340698306,0.854231163094499
"Complement cascade",0.791756314919256,0.793701973074057,0.790688627169399,0,0,0.788425395954791,0.750531589528006,0.755232788958553,0.754979146255847,0,0.753126386659549,0.789210312452074,0,0.788482435595435,0.785754350421377,0.785742649607827,0,0,0.789893049644682,0,0.78988122839414,0.756451596191239,0,0,0.754321107977242,0,0.757093346534663,0.792779375849255,0,0.71596399308537,0,0.792779375849255,0.791408074358768,0.75154108085587,0,0,0.71928258747301,0.789704235972743,0.787359472261402,0.789087638663946,0.787732388545531,0,0.79457597359248,0.787701971372742,0.790007220155292,0.757577354815408,0,0,0,0.789085817392573,0,0.792779375849255,0
"ECM proteoglycans",0.843214156137577,0.805912027978514,0.841704155244657,0.846331438900165,0.842441437958212,0.878800510281027,0,0,0.843153466395042,0,0,0.802098060157482,0,0.841038009672803,0.840502901668878,0.840490654548262,0.805330092445936,0,0.84488888120233,0,0.843549779721619,0.84176737511977,0.801896133210424,0,0.842928310181188,0.806954332945567,0,0.80484205268472,0,0.844639351667971,0.87994990739324,0.80484205268472,0.842708600849981,0.842718657558862,0.801445603974245,0,0.808071503811756,0.879157404112634,0.799918230793502,0.799065502314911,0.843056582090178,0.808658810256881,0,0.842710630429922,0.882051852013348,0.842980051706931,0,0.802632283181593,0,0.844043959546721,0,0.80484205268472,0
"Ion homeostasis",0.794435424599956,0,0.833502099369849,0,0.749580775908151,0.830882286345966,0.745284791642451,0.742693639163682,0.791351918909463,0,0,0,0.794892716776987,0.787026587031106,0.787554006168364,0.787540040273542,0.754038747924415,0,0.832552511378717,0.753582671279322,0.789890861616198,0.743929472954761,0.744494613628433,0,0.792998368868788,0.795217505988815,0.744914369483723,0.836322371142688,0,0.793839903298718,0.790699907211216,0.836322371142688,0.791829856082642,0.78949505276834,0.790186150212786,0,0.838141970867018,0.739817835866336,0.788055303136014,0,0.79131671541638,0,0.751959092780092,0.789258734413469,0.832770325183427,0.793956362727247,0,0.740123916511831,0,0.793437877962695,0,0.836322371142688,0
"Presynaptic function of Kainate receptors",0.805756213978126,0.807027817277656,0.803548764706986,0,0,0.798869523893572,0,0,0.807042508939369,0,0.717964463335117,0,0.886508790055568,0.796236399838967,0.871698837940198,0.866007025778505,0,0.810904254507612,0.878550718807236,0,0.801197847491461,0,0,0,0.803408215829888,0,0,0.88508080568282,0,0.804724662122932,0.803078946847976,0.88508080568282,0,0.874263920735753,0,0,0.811585871088935,0,0.875144822956603,0,0.800354039047624,0,0.811053002740617,0.876187107421468,0.802139952611087,0.801274304007163,0,0,0,0.800234948215124,0,0.88508080568282,0
"Long-term potentiation",0.843679496155227,0.779632430571385,0.905074262410574,0.777147986204407,0.773591524215123,0.897412691424924,0.770940714054159,0,0.854997173821056,0,0.779277653309355,0,0.840001041982337,0.837539621189102,0.835678124775945,0.835658188510297,0,0.787583386618856,0.899913332403088,0,0.839361212519552,0.838726906246648,0.843178581924653,0,0.841182782799608,0.847360287714109,0,0.844120689141379,0,0.844534820150735,0.839126051931722,0.844120689141379,0.832209512153333,0.838677465121329,0.842445195619712,0,0.846718161336161,0.777920142175068,0.836672632923668,0.778972092229398,0.839227549785027,0,0.783388734538094,0.837531582254218,0.900107860212541,0.841691371079388,0,0,0,0.839844405266746,0,0.844120689141379,0
"MAPK family signaling cascades",0.818634027241041,0.818092320609661,0.829084952510272,0.818907444318615,0.807197941408492,0.901970869074353,0.807031064744604,0.818736180247763,0.818117224481076,0.807687561069915,0.818813964739751,0.818365175931653,0.819194458928995,0.827453409072011,0.818030272112039,0.818026926889316,0,0.818865027344082,0.840280560724023,0.807674245671494,0.828492779828375,0.817068507752391,0.818221800893952,0,0.818703177603089,0.819035759516861,0.819268107318815,0.817030233304351,0.808283269709392,0.818282258913277,0.838833039475047,0.817030233304351,0.819048274133715,0.838109018008216,0.818024622282086,0,0.818785910371524,0.828409684530923,0.817676564176752,0.818762692857348,0.828249348765386,0.819416177979349,0.819290948068891,0.818214526203931,0.838920182136074,0.839935020692381,0.820002737938593,0.818514493635359,0,0.849200392706943,0.819726321888556,0.817030233304351,0.819066165878125
