"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","PRDM1","ATG5","RPS6KA2","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK"
"Signaling by NOTCH1 HD Domain Mutants in Cancer",0,0.882687320564055,0.873982721216715,0,0.796404374538745,0,0.806294213353212,0.730512220703849,0,0.869550270004986,0.81468364184089,0,0,0.811951328287655,0.805044729667242,0.803900664259387,0,0.730637203029341,0,0.724387081106826,0.805182292575555,0,0,0.806562625507664,0.804297920287347,0.798054059836362,0.808260961408946,0.814961405110876,0,0.804082968006703,0.808260961408946,0,0,0,0.799758253578359,0.80596313067772,0,0.805015931521866,0,0.869565309516668,0.79987510851842,0,0,0.814571535727795,0.805131086527292,0,0,0.805169877526022,0.721911781730052,0.805839585845827,0.877444541698008,0.872587934290946,0.7983345758207,0,0,0,0.80056826518618,0.815130297668116,0.807189277231624,0,0.87038415028273,0,0.730512220703849,0,0.724387081106826,0,0,0.798054059836362,0.799816029565809,0,0.798983246296924,0,0.729019158242337,0.874978399328966,0.806967294506048,0,0.798072446983371,0.807316913575885,0.804275159478615,0.806562625507664,0.804478406501189,0,0,0,0.728385302266141,0,0.869520363728769,0.806910072957758,0,0.806375934233204,0.81468364184089,0,0.725580722764475,0.807959220789171,0.804923910027895,0.869565309516668,0.802899862739767,0.872239133174509,0.803643620679969,0.879241958678033,0,0.80910929433607,0.869535288226715,0.805434520846599,0,0,0,0,0.803643620679969,0.879957158943337,0.875042599307142,0.886454565240653,0,0,0.800661296074066,0.881236472395782
"Constitutive Signaling by NOTCH1 HD Domain Mutants",0,0.882687320564055,0.873982721216715,0,0.796404374538745,0,0.806294213353212,0.730512220703849,0,0.869550270004986,0.81468364184089,0,0,0.811951328287655,0.805044729667242,0.803900664259387,0,0.730637203029341,0,0.724387081106826,0.805182292575555,0,0,0.806562625507664,0.804297920287347,0.798054059836362,0.808260961408946,0.814961405110876,0,0.804082968006703,0.808260961408946,0,0,0,0.799758253578359,0.80596313067772,0,0.805015931521866,0,0.869565309516668,0.79987510851842,0,0,0.814571535727795,0.805131086527292,0,0,0.805169877526022,0.721911781730052,0.805839585845827,0.877444541698008,0.872587934290946,0.7983345758207,0,0,0,0.80056826518618,0.815130297668116,0.807189277231624,0,0.87038415028273,0,0.730512220703849,0,0.724387081106826,0,0,0.798054059836362,0.799816029565809,0,0.798983246296924,0,0.729019158242337,0.874978399328966,0.806967294506048,0,0.798072446983371,0.807316913575885,0.804275159478615,0.806562625507664,0.804478406501189,0,0,0,0.728385302266141,0,0.869520363728769,0.806910072957758,0,0.806375934233204,0.81468364184089,0,0.725580722764475,0.807959220789171,0.804923910027895,0.869565309516668,0.802899862739767,0.872239133174509,0.803643620679969,0.879241958678033,0,0.80910929433607,0.869535288226715,0.805434520846599,0,0,0,0,0.803643620679969,0.879957158943337,0.875042599307142,0.886454565240653,0,0,0.800661296074066,0.881236472395782
"Glucagon signaling in metabolic regulation",0,0,0.885715382375032,0,0.918457814671311,0,0,0,0.887576914971323,0.83948387014428,0,0,0,0,0,0.887223895746932,0,0,0,0,0.886671352046185,0,0,0.887062115329324,0.921006933364554,0.919272589800765,0.888106216902771,0,0,0.887903471479996,0.889377434776238,0,0,0,0.920114286504225,0,0,0.887014777337955,0,0.839491298118631,0.8822274594224,0,0,0,0.886056525113921,0,0,0.886192013899605,0,0.886406451020887,0,0.886041627836893,0.918651189981696,0,0,0.886671352046185,0.884195260965944,0,0.889437669247604,0,0.884953184845265,0.845346739610497,0,0,0,0,0,0.919272589800765,0.920142821908961,0,0.919731512493345,0,0.885469725583314,0.886207145115463,0.887261980258727,0,0.919281671163196,0.922498006026135,0.886983267359466,0,0,0,0,0,0.890175092811174,0.891364042881725,0.83946909951493,0.886089534420029,0.844532249752364,0.88709694261472,0.891200097047446,0.888452363258759,0,0,0,0.839491298118631,0.846012870303564,0.884854228932702,0.887686479017535,0.888312905605411,0.89178963345026,0,0.839476470684306,0.886945546460297,0,0.889928879173979,0,0,0,0,0,0.839491298118631,0,0,0.885198389948287,0.890313117535041
"Interaction between L1 and Ankyrins",0,0,0.876523889466095,0,0.877763369518671,0,0,0,0.88377820433236,0,0,0.885929389632271,0,0.88480915678735,0,0.911395975104148,0,0,0,0,0.911524552295154,0,0,0,0.910400891024623,0.878466382424399,0.883236508024369,0,0,0,0,0,0,0,0,0,0,0.910503846447736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939406226747294,0,0,0.912180256872167,0,0,0.878697161779024,0,0.909166182471636,0,0,0,0,0,0,0.878466382424399,0.879217245307818,0,0.878862354962038,0,0.911143456802154,0,0,0,0.878474218101704,0.911687434129065,0,0,0.881624573359848,0,0,0.911370799689926,0,0.91586204151347,0,0,0,0.910607608109187,0,0,0,0,0,0,0.910290655881113,0.909956682886903,0.912180256872167,0,0,0,0,0.912565429997665,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0,0,0.892692760360457,0.895581814427087,0.920709606124696,0,0,0,0.896802590662513,0.858895940707876,0,0.897460505480533,0,0,0,0.893983555927853,0,0,0.8585155655832,0,0.923769020510573,0,0,0.893689197791849,0.922890820538368,0.921406787962865,0.894738535139965,0,0,0.894565051166999,0.89582628313533,0,0,0,0.891145162826283,0.894823516030513,0,0.893804618756729,0,0.85890229663189,0.853984823461633,0,0,0,0.892984667308986,0,0,0.857377189377111,0,0.893284089785474,0,0.892971920097385,0.920875072336755,0,0,0.893874925442119,0.891723627130784,0,0.895009206515872,0,0.892040567803711,0.858146078330282,0,0,0,0,0,0.921406787962865,0.922151422892054,0,0.921799476147401,0,0.892846725002645,0.893113548917842,0.893860217001726,0.858691233765681,0.921414558647958,0.924166692544601,0.893777656489561,0,0,0,0,0,0.89650881832194,0.897526171902962,0.858883301865391,0.893450394603605,0.857449140591345,0.894379376373576,0.897385887726421,0.895034723553209,0,0,0.862128229184458,0.85890229663189,0.893731962567345,0.892824511495354,0.894379376373576,0.894915393274715,0.897890338657878,0,0.85888960918287,0.894267620054613,0,0.896298139731056,0,0,0,0,0,0.85890229663189,0,0,0.892250383418197,0.895236064438522
"Ion channel transport",0,0.92974462369109,0.919103967890568,0.91050372815221,0.918766090627015,0.9113132057643,0.919347562383893,0,0.920038306741537,0.927963799527999,0,0,0,0.920449931274655,0.919542405872739,0.919594257070565,0,0.909767085284339,0,0.908943556634167,0.928855174022327,0.928126415828073,0,0.919741857022047,0.928582123488331,0.918623833533937,0.919965017952065,0.920772033462227,0.911179601811033,0.919416030621259,0.919965017952065,0,0,0,0.919044044957222,0.919781996853337,0,0.919179596457898,0,0.927965775716227,0.918504093548465,0,0,0.920731624858426,0.919194727797987,0,0,0.919558850271362,0.907874489361062,0.919214403253563,0.929055723805768,0.92841756675752,0.918817537494461,0,0,0.909497732957175,0.919027620698694,0.920867647088652,0.919824198908249,0,0.9188421922685,0,0,0,0.908943556634167,0,0,0.918623833533937,0.918855355933711,0,0.919104953757401,0,0.908443892165141,0.928731673290073,0.919795030431359,0,0.918626249600643,0.897062716140926,0.919441284534564,0.919741857022047,0.919467991144574,0,0,0,0.909471186064258,0,0.927959869850479,0.91978751153364,0,0.91935830048792,0.920449931274655,0.920130469168809,0.908356587332852,0.919925369307011,0.919526530201113,0.927965775716227,0.919260570872996,0.928371734374493,0.91935830048792,0.919795030431359,0,0,0.927961830925929,0.919593624340201,0,0.910215907496615,0.909886995776725,0,0.91935830048792,0.929385881109059,0.928740109151805,0.927965775716227,0.909854453322638,0,0.918362697930152,0.929553982589819
"Unwinding of DNA",0,0.732412650724602,0,0,0,0,0.719612519605321,0,0,0.713971448215025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730242060411626,0.719993559116399,0,0,0,0,0,0.726042721948626,0,0,0,0.72274511446076,0,0,0.726290107754504,0,0.713992560007152,0.717018924681222,0,0,0,0,0,0,0,0.603931736456075,0,0.728286983245806,0.718235585130814,0,0,0,0,0,0,0.72739141911103,0,0.715142011957738,0,0,0,0,0,0,0,0,0,0,0,0,0.824500282945601,0,0,0,0,0,0.829917220187277,0.826991487002351,0,0,0,0,0,0.71392946712547,0,0,0,0,0.633456647646513,0,0,0,0.713992560007152,0,0.717745953763798,0,0,0,0,0.713950417466471,0,0,0,0,0,0,0.728580172261864,0.721681333813389,0.713992560007152,0,0,0.718724128361108,0.730376015122001
"Dermatan sulfate biosynthesis",0,0,0,0,0,0,0,0.719728139410641,0,0,0,0,0,0.728642007796113,0,0,0,0,0,0,0.720148600418365,0,0,0,0.718024137231616,0,0.724869151220704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801499574621793,0,0.798643118930814,0.795047130074223,0,0,0.797771245130669,0,0,0,0,0.714490762949915,0.801900398999037,0.719728139410641,0.737352527336671,0,0,0,0,0,0,0,0,0.799560580885912,0,0,0,0,0,0,0,0.721002045964068,0,0,0,0,0,0,0,0.875587906527849,0.80204791184856,0.810541319226307,0,0,0,0,0,0,0.798286521164545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80748497529061
"Post-chaperonin tubulin folding pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834727045105392,0,0,0,0,0.83146866378522,0,0,0,0.832811837202713,0,0,0,0,0,0.838303349101535,0,0,0,0.76375465038401,0,0,0.833400748086354,0,0,0.761609458263104,0,0,0,0,0,0,0,0,0,0,0,0.828899739785692,0,0.838927784583642,0,0,0,0.83599220635783,0,0.831239150912684,0,0,0,0,0,0,0,0,0,0,0,0,0.833745327074439,0,0,0,0.835288007379146,0.767459404456314,0,0,0,0,0,0.840890005360363,0,0,0,0,0.893795703842091,0.841330178091136,0,0,0,0,0,0,0,0,0,0.84230919976874,0,0,0,0,0,0,0,0.835695228185017,0,0,0,0,0,0,0
"tRNA modification in the nucleus and cytosol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000275912878231843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010732901746101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC-mediated transmembrane transport",0,0.895153474824217,0.894235796166403,0,0.893700235063928,0.895559985940203,0.885938376477356,0.886608270307643,0.887201774982363,0.893768506895927,0.895441527810254,0,0,0.89531568864976,0.894496719253591,0.89447303391335,0,0,0.886661973197755,0,0.887006117799741,0,0.887152891108475,0.894747586967285,0.894220778403421,0.886542679902435,0.894926633302241,0,0,0.887075969451165,0,0.887152891108475,0.894664893638255,0,0.886262887552597,0.886833851730054,0,0.886726193458551,0.88669819040374,0.893770092430005,0.885884113030705,0.894768284307459,0.902176060163219,0,0.894308614597403,0,0.895170180715761,0,0.885553382424826,0.894089154050133,0.894600757107866,0.901487155801833,0.886410039354388,0,0,0.886707357336329,0.901506013863537,0,0.886166477501675,0,0.893750586833349,0.887133153907471,0.886608270307643,0,0.886314448671593,0,0,0.886542679902435,0.893726290249217,0,0.893590192369061,0,0.886450864837151,0.894340765104916,0.886454523822059,0,0.886544618359532,0.893390868219035,0.886387129735036,0,0.894527859071246,0,0,0,0,0,0.893765354039567,0.88599822445326,0.886959297433996,0.886869571161873,0,0,0,0.886342413870231,0.902103507408294,0.893770092430005,0.894252308502376,0.886456030984468,0.886461984828816,0.902121721550505,0,0,0.89376692744837,0.886832478697077,0,0,0.893779747165837,0,0,0.894865648704744,0.894347533360117,0.893770092430005,0,0,0.886370240452696,0.887411583066178
"G alpha (q) signalling events",0,0.903050446669058,0.922530334487948,0.902699626906153,0.910688191838386,0.904040799948298,0.902295322475957,0.902444013999513,0.902541132808386,0.901746511321282,0.892958291348537,0,0,0.892644031333107,0.89181606193368,0.911643705682677,0,0,0.89179964998021,0,0.902718167549245,0,0.90419418027573,0.902508315985394,0.90229776700064,0.910935960362588,0.892169827306651,0,0,0.902423526432826,0.892935029383688,0,0,0,0.901373089641591,0.902853209991944,0.892599432979768,0.902543410192347,0,0.901748443865451,0.901882825744335,0.892529344839851,0.892957166951142,0,0.922619089965544,0,0,0,0.891639072599722,0.922710130569536,0.902376761116968,0.911226263914465,0.910774290095476,0,0,0.902295271587485,0.902241410485777,0.894538349529217,0.902304104896708,0,0.902007043430173,0.902699626906153,0.902444013999513,0.892797446615001,0.892396582488856,0,0,0.910935960362588,0.911162369597132,0,0.911714147537407,0,0.9022521587574,0.902174498365186,0.902560315061563,0.891853062595131,0.910938323070533,0.902416185363209,0,0,0.891683777321243,0,0,0,0.892374487593873,0.903410856652822,0.901742668430571,0.902302688735573,0.902487720193464,0.902367071267744,0.903158105349024,-0.00723410736780753,0.891423283252374,0.902921616389034,0.902531585632784,0.901748443865451,0.902271500008424,0.902245404651482,0.902564787221812,0.903145252325028,0.903272712670534,0,0.901744586195728,0.902948294281331,0,0.893196554132498,0.891556717349899,0,0,0.902699626906153,0.902068116803137,0.901748443865451,0,0,0.901797418317623,0.90286401587077
"Prostacyclin signalling through prostacyclin receptor",0,0,0,0,0.905727723504385,0,0,0,0.856141082991841,0,0,0,0,0,0,0.85607189847691,0,0,0.790173933395698,0,0,0,0,0.788290094725581,0.850007200592945,0.907023056676084,0,0,0,0.857152291039098,0,0,0,0,0.848442298323662,0,0,0.855739441088153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854192323626931,0.851430487103029,0,0,0,0.84966282781167,0,0.858654117932932,0,0.852461912054963,0,0,0,0,0,0,0.907023056676084,0.908406555602443,0,0.907752654040381,0,0,0,0.788607840890817,0.790500317147428,0.907037494266992,0.85223194635922,0,0,0,0,0,0,0,0.862653923044848,0,0.852058263306793,0,0.851638857490906,0.862393281218871,0,0,0,0,0,0.789770595865706,0.848749986978213,0.856807315444639,0,0.863330528848165,0,0,0.853723674517028,0,0,0,0,0,0,0,0,0,0,0,0.860983157193844
"Signaling by Nuclear Receptors",0.875844688115753,0.875680649973158,0.883015571801584,0.875406928112777,0.88243314792488,0.876283269083355,0.874928334160849,0.875262412016798,0.876220996205353,0.874666322013191,0.884140436598958,0,0.876117196316977,0.875498361521605,0.875250610543665,0.883256352955547,0,0.85954560773594,0.875639012080757,0.875506898885833,0.875096747764902,0,0.875246870745424,0.875611834216181,0.882984868954287,0.882614308110335,0.875093103895129,0.876180170798541,0.868948681050995,0.875225852492692,0.875736976526903,0,0.875814322264118,0,0.882801454140428,0.875506898885833,0.867135174286179,0.875216276849161,0.87571979067297,0.874667973577116,0.882684603168132,0.875707735332364,0,0.860284536026348,0.875154580764092,0,0.876089916450699,0.883395731606189,0.875731927684971,0.882719792565041,0.875299564714463,0.874999903106622,0.882476143723138,0,0,0.87536562554237,0.874745499975537,0.876352851189686,0.875257858844429,0,0.882620394746472,0.875673452215025,0.875262412016798,0.875872678799121,0.876134832432428,0.867801087064931,0,0.882614308110335,0.882807798810297,0.875183086930198,0.882716346718402,0,0.875098451367567,0.875357039434274,0.875931592697144,0.875684658824224,0.882616327294823,0.875194775437925,0.883297478146798,0.867433508835923,0.875683004716672,0.876198717734151,0,0.867454255042827,0.876219002354089,0.875995289033222,0.874663037855568,0.875518909402101,0.875628057730093,0.87536562554237,0.884140436598958,0.875995289033223,0.866074897464951,0.875934170571443,0.875600847930318,0.874667973577116,0.875509656938777,0.882824099686545,0.875291283710764,0.883593114945855,0.876257810826718,0,0.87466467678926,0.875788000410324,0,0.876089916450698,0.875495169309317,0,0.8755913327145,0.875083143023665,0.883131962310549,0.874667973577116,0.875593753558936,0,0.87526382874785,0.875605876435603
"Metabolism of Angiotensinogen to Angiotensins",0,0,0.855952465332788,0,0.907742930542332,0,0,0.79962916378611,0,0.799194299883566,0,0,0,0.80708475345471,0,0.857720187967845,0,0,0,0,0.857512954428479,0,0.866773737106657,0.859866312964958,0.855837619118305,0.909072938955068,0.80410950781128,0,0,0,0,0,0.85827159029908,0,0.854380495807933,0,0,0.856416493758049,0,0.799206425030762,0.79004481050751,0.860024592941258,0,0,0.85650933396594,0,0,0,0,0.857080539913784,0,0.854827960951299,0.908058589158224,0,0,0,0.855484027697797,0,0.860371531788164,0,0.853051227367619,0,0.79962916378611,0,0.798095976648633,0.800188058644449,0,0.909072938955068,0.854427075934139,0,0.909822067174452,0,0.798425427753899,0,0.860192564991936,0,0.909087763031055,0.85827159029908,0,0,0.801059938383572,0,0,0.797641751319547,0,0.806390035346521,0.799170188861289,0,0,0.857512954428479,0.80708475345471,0,0,0.799677213578989,0.797230086933927,0.799206425030762,0.855950985143977,0.854546750698711,0.857512954428479,0.860192564991936,0.808047090603958,0,0.799182221282171,0.858956813018616,0,0,0,0,0,0,0,0.799206425030762,0,0,0,0
"G beta:gamma signalling through PLC beta",0,0,0,0,0.905727723504385,0,0,0,0.855725524878989,0,0,0,0,0,0.789090049095588,0.85607189847691,0,0,0.790173933395698,0,0.787989898084361,0,0,0.788290094725581,0.850007200592945,0.907023056676084,0,0,0,0.857152291039098,0,0,0,0,0.848588066592658,0.790960503079095,0.795450359117181,0.855739441088153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854192323626931,0.851430487103029,0,0,0,0.84966282781167,0,0.858654117932932,0,0.852461912054963,0,0,0,0,0,0,0.907023056676084,0.908406555602443,0,0.907752654040381,0,0,0,0.788607840890817,0.790500317147428,0.907037494266992,0.852377714628215,0,0,0,0,0,0,0,0.862653923044848,0,0.852058263306793,0,0.851638857490906,0.863330528848165,0,0,0,0,0,0.787405899225276,0.848749986978213,0.856807315444639,0,0.864267776477459,0,0,0.853723674517028,0,0,0,0,0,0,0,0,0,0,0,0.860983157193844
"G-protein activation",0,0,0,0,0.910423762806789,0,0,0,0.865417576602566,0,0,0,0,0,0,0.866205454340565,0,0,0.80552116553038,0,0,0,0,0.803811342217293,0.859850297784197,0.911599442492273,0,0,0,0.866335376582472,0,0,0,0,0.858562253093017,0,0,0.865053035465719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863648829497744,0.861142111406428,0,0,0,0.859537735663483,0,0.867698475597281,0,0.862078260799946,0.807452632757642,0,0,0,0,0,0.911599442492273,0.912855143819272,0,0.912261644942212,0,0,0,0.804099737295695,0.805817400317665,0.911612546443216,0.862001840920985,0,0,0,0,0,0,0,0.871328807714698,0,0.861711898196361,0.80627736470438,0.861331234048724,0.869597465871252,0,0,0,0,0,0.803858180897701,0.858709216447405,0.866022267332084,0,0.870448137360336,0,0,0.867298586486821,0,0,0,0,0,0,0,0,0,0,0,0.869812375098641
"G beta:gamma signalling through PI3Kgamma",0,0,0.805698852864903,0.81083538696831,0.911327039352919,0.815168010019584,0,0,0.866774690390614,0.861430753137719,0.812925302449504,0,0,0.812782372566227,0.864342294486873,0.866712529844543,0,0,0.807501627121913,0,0.866531190072936,0,0,0.805809045471851,0.861263551376059,0.912490863618719,0.810178882961664,0,0,0.867683235380336,0.810321812844941,0,0,0,0.859988495180448,0.869200203923976,0.873234226615002,0.86641382524496,0,0.861441363251458,0,0,0,0,0.806186140931594,0,0,0,0,0.80844974055317,0,0.865023779129604,0.911603256520696,0,0,0.866531190072936,0.860954141096075,0.815168010019584,0.867216782275413,0,0.863469047867193,0,0,0,0,0,0,0.912490863618719,0.91373390259694,0,0.913146388494777,0,0.864814787613703,0.806401286443984,0.806094532407218,0.807794874711433,0.912503835430918,0.863393398597564,0,0,0.807653286190355,0,0,0,0,0.872626313323282,0.861409654780347,0.865428312579981,0,0.862729554048419,0.872392133200066,0,0,0,0,0.861441363251458,0.866006481790733,0.863935612597671,0.866531190072936,0.809409153360353,0.873234226615002,0,0.861420183753897,0.864602709694984,0,0,0,0,0,0,0.806446578411229,0.861441363251458,0,0,0.8626114051839,0.87028307882561
"Interleukin-6 family signaling",0,0.803015496867726,0.853740931221535,0.801671867746159,0.850770668507279,0,0,0,0,0.854606201847084,0.800826238475889,0,0,0.86200621062101,0.80012837380411,0.855374413850485,0,0,0,0,0.854516996886232,0,0,0.8002557571767,0.854500610888683,0.851962870461123,0.859339239769323,0,0,0.800295949878174,0,0,0,0,0,0.857873825796754,0,0.854156880165871,0,0.850548536364565,0.793448191882975,0,0,0.806016791161873,0.851355066787367,0,0,0,0,0.854752122358875,0.799226621973403,0.850872858510903,0.905379332193937,0,0,0.855139733011825,0,0.80250089416925,0.855842042103802,0,0.852002926169148,0.800922671402902,0,0,0,0,0,0.851962870461123,0.795380097027885,0,0.852634379090901,0,0.853381479274029,0.853837756210138,0.800548205179498,0,0.851976158566813,0.856682390469574,0,0,0.856605646060229,0,0,0,0,0.803882405280425,0.850516054741417,0.856388373070901,0.799730886866102,0.855139733011825,0.861143584325865,0,0,0.801265054905029,0.799071482939912,0.850548536364565,0.797608735387355,0.85248086721198,0.855139733011825,0.80151778156602,0,0,0.850526840444385,0.799440493451549,0,0,0,0,0.800098220432105,0.801042451449165,0.797980013662821,0.850548536364565,0,0,0.795968340152104,0.857123022733968
"Glucagon-type ligand receptors",0,0,0.852321224388326,0,0.925219397767113,0,0,0,0.89452182218843,0,0,0,0,0,0,0.894478992166996,0,0,0.85368357342815,0,0,0,0,0.852517346409013,0.891707523075893,0.926021298995484,0,0,0,0.895147830224779,0,0,0,0,0.889755739594961,0,0,0.894273177945412,0,0,0,0,0,0,0.852656976881837,0,0,0,0,0,0,0.893315404748759,0.891605636057997,0,0,0,0.890511332146037,0,0.896077565413593,0,0.892244159762939,0,0,0,0,0,0,0.926021298995484,0.926877780951429,0,0.926472970453784,0,0,0,0.852714053361155,0.853885627646441,0.926030236867327,0.892192035706049,0,0,0,0,0,0,0,0.89855372266994,0,0.89199427314376,0,0.891734631804918,0.898392367271204,0,0,0,0,0,0.853409673877156,0.88994622024923,0.894934266364146,0.856280895532208,0.898972588670331,0,0,0.893025278389675,0,0,0,0,0,0,0,0,0,0,0,0.897519402529367
"Recycling of bile acids and salts",0,0,0.858179474555796,0.800590600921571,0.791490969431266,0.807984313486117,0,0,0,0,0,0,0,0,0,0.797539271151369,0,0,0.801622801389179,0,0.798990207637174,0,0.869009066804148,0,0.797313584161894,0.7928220004873,0,0,0,0,0,0,0.799036673461828,0,0.795142587108624,0,0,0,0,0,0.793032332113361,0.799845447981471,0,0,0.85873677136517,0,0,0.799508898397403,0,0.859308416513194,0,0,0.793465200124041,0,0,0,0.796685923421136,0,0,0,0.855276005829127,0,0,0,0,0,0,0.7928220004873,0,0,0.793571704711277,0,0,0,0,0.801958179899689,0.792836835961518,0,0.798787004646387,0,0.795816801541086,0,0,0,0,0,0,0,0,0.798990207637174,0.804730116168731,0.801958179899689,0,0,0.806258995272689,0,0,0.792251609615317,0,0.801398081108999,0.805693193258889,0,0,0,0,0,0,0,0.798277454276203,0,0,0,0.80690212335565,0,0,0
"Peptide hormone biosynthesis",0,0,0.674589554783244,0,0.667686037474473,0,0,0,0,0,0,0,0,0,0,0.677748136086641,0,0,0,0,0,0,0,0,0.674456681830089,0.669224809529935,0,0,0,0,0,0,0,0,0.67081442526517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671332126395337,0.590882546297568,0,0,0,0,0,0,0,0.671232926460975,0.60103719930783,0,0,0,0,0,0.669224809529935,0.89615746688972,0,0.670091524025052,0,0,0,0,0,0.66924196045444,0,0,0,0,0,0,0,0,0,0,0,0.599498966011495,0,0,0,0,0,0,0,0,0.59834010540458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selenoamino acid metabolism",0,0.894428460341073,0.87975288966573,0,0.875274681853388,0,0.895200778962508,0,0,0.891459243140572,0.896207409768235,0,0,0.897983749765361,0.877227562444858,0.892797388784525,0.84742124011495,0.896853865845869,0,0.894972938521092,0.876910885814432,0,0.882786565112819,0.896155672442152,0.894118825368768,0.875647541342592,0.89714965837147,0.879468915111244,0,0.894643143369017,0.87793346747904,0,0.895743856302488,0,0.89536160225413,0.894820340316909,0,0.876117931930442,0,0.891462642349289,0.894305915060381,0.880663335788415,0,0.879507087963191,0.879909004282842,0.897535725404896,0.897866556788426,0.877255848183215,0.896414617911005,0.880069138275909,0.893243495031128,0.892145811636801,0.89502288764598,0,0,0.896570598700395,0.8957320166947,0.879507087963191,0.87771226998913,0,0.896533838194943,0,0,0,0.895413006655536,0,0,0.875647541342592,0.876045779196965,0,0.875857554724878,0.880745297283501,0,0.892810195470147,0.877662097773987,0,0.875651697179012,0.877102541586324,0.895917961790223,0.87757063507122,0.896294730772353,0,0,0,0.896344894486595,0,0.891452483767199,0.893975045878967,0,0.894588495080639,0.878788581893514,0,0.895570514674112,0.877886291520386,0.877200254964409,0.891462642349289,0.896071664221035,0.895826890968802,0.876910885814432,0.880941574923615,0,0,0.891455856980677,0.877315662484448,0,0.87876755887293,0.895634669046895,0,0.876889862793847,0.89381139315328,0.894852016933231,0.891462642349289,0.881743169796896,0,0.911614399682549,0.894100541732769
"Vitamin B5 (pantothenate) metabolism",0,0,0,0,0,0,0,0.686142695376914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687950329270665,0,0.682164727799943,0,0,0,0,0,0.680094896235921,0.690040020733578,0,0,0,0,0,0,0,0.686530520901774,0,0,0.677597287698414,0,0,0.685898819169681,0.75146211379748,0,0,0,0.681727322192005,0,0.686142695376914,0,0,0,0,0,0,0,0,0,0.684707764904141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680642485539592,0.684178390427708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
