"","GRM1","IL22RA2","PCMT1","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HIVEP2","RAET1G","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","ZBTB2","PEX7","HECA","SCAF8","KATNA1","IL20RA","CITED2","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","UTRN","SOD2","WTAP","ACAT2","TCP1","MRPL18","IGF2R","SYNE1","LPA","PLG","MAP3K4","EPM2A","AGPAT4","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","AHI1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"G beta:gamma signalling through CDC42",0.916494915602649,0,0,0.869529994527578,0,0.86685277560965,0.871573206461558,0,0,0,0,0,0,0,0,0,0.871002715074746,0,0,0,0.879244297641982,0,0,0.917847969239395,0.813821812768342,0,0,0,0.868111655562896,0,0,0,0.916181969021401,0.868726869622488,0,0.867951682754801,0.86910180860167,0.816715523635522,0.876388845120801,0,0,0,0,0,0,0.817606675701383,0,0,0.917061464785549,0.872815707837787,0.811269868779,0.814483600039551,0.814122762427021,0,0.91769249423403,0.91939127855513,0.858224225151885,0,0.872090555673289,0,0,0.920156776502375,0.868406917751782,0,0,0.918037605560775,0,0.86781706184711,0.866198916595076,0,0.86703201326296,0.87317196124462,0.816480984401805,0.813160259282001,0.817445552926396,0.808728499510509,0,0.865766537086829,0,0.870465038075682,0,0.868204834986595,0.916014700687817,0.869725099554639,0.821727045473259,0.869206304763369,0.86871336279149,0,0,0.814296582333559,0.867492654268321,0.809414444073089
"Ion homeostasis",0.933905554215232,0.909474468522733,0,0.935009650474515,0,0.90976156599302,0.911145382323923,0,0.883396050046222,0,0,0,0,0,0,0,0.912034697857848,0,0,0,0,0.88471065205406,0,0.908342665885203,0.880197048626551,0,0,0,0.881153914166732,0.885367683857057,0,0,0.907498565069417,0.881465620422215,0,0.909048446273647,0.935528614567235,0,0,0,0,0,0,0,0,0.883023975781747,0.90949524723682,0.910077814379504,0.90831481659684,0.88420233824364,0.879813349615621,0.884564537422708,0.881258805522311,0.881845544055311,0.90961283488386,0.910473546194578,0.908395380330557,0,0.911834884887022,0.882202902706112,0.88426017766826,0.910861395748721,0.881845544055311,0,0.88191001645191,0.908896693527328,0,0.881004654404858,0.908188346857752,0,0.908231495004047,0.912691322456329,0.884552797487027,0,0,0.880406964057635,0,0.909211209028268,0,0.909832932658816,0,0.908487284687412,0.907584396362083,0,0.883774957429959,0.909210250503126,0.880313454661426,0,0.880957708050575,0.884820240335757,0.908650536333487,0.9089921349363
"Activation of Matrix Metalloproteinases",0.919024139926461,0,0,0,0,0,0.889773388911145,0,0,0,0,0,0.894080713087911,0,0.890496381062263,0,0.920360768066956,0,0,0,0,0.859600290946758,0.894657380144979,0,0,0,0,0,0.887517202895367,0,0.921529816354002,0,0.918358123322863,0.887871508440924,0,0.887425073575234,0.889186578887171,0,0.892284087065635,0.922842544264496,0,0,0,0,0,0,0,0.921581761843496,0.919350419071423,0,0,0,0.921234065612208,0,0.912840236871383,0.920692173093147,0.887133347045714,0.894888702543942,0,0,0,0.920021030007655,0.891978495021649,0,0,0.888927633056115,0,0.887347544569843,0.889580318680628,0.893335108251886,0.950199482133853,0,0,0,0,0.887153959708668,0,0,0,0.921303413398064,0,0.88628923009542,0.91826179246491,0,0,0,0.919808824121169,0,0,0.892083153360611,0.887423373906678,0.919008304980697
"G-protein beta:gamma signalling",0.923223773216861,0.883659381134836,0,0.883091756664095,0,0.881552488626365,0.884806897590565,0.888849306904156,0,0.845370499641642,0,0.845370499641642,0.839945300665616,0.888849306904156,0,0,0.883747992441856,0.845370499641642,0.888849306904156,0,0.889719437031152,0.832516974021537,0.840065484184827,0.924359572019471,0.837036511978709,0,0,0,0.882609234866644,0,0,0,0.922961075314421,0.883125666272803,0,0.923728139368181,0.883440402682389,0.839465590360218,0.889557386612833,0.837600085491305,0,0,0,0,0,0.840213653424283,0.883693807073827,0.834987390435199,0.923699353686165,0.88620272161047,0.834894324227458,0.837592038507598,0.837289139260208,0.836160774172445,0.924229061062527,0.925655077848113,0.874309392704639,0.841123016160539,0.885949257655363,0,0,0.926297662612137,0.877413965238055,0,0.839106338506689,0.924518759135861,0,0.88236194297772,0.881003617343173,0.889360474737637,0.882214114583963,0.886857025920933,0.839268710226581,0.883872617257428,0.840078401539261,0.879750861683884,0,0.880640663418508,0,0.883671988462162,0,0.882687452813805,0.922820664640491,0.883963614104933,0.843672430612498,0.883528120280651,0.883625496017345,0.833489075801065,0,0.837435049545176,0.882089624327861,0.879712588710274
"Trafficking of AMPA receptors",0.925121010030098,0.888804582835651,0.891232648657788,0.926830693057083,0,0.887503802388339,0.889877090628426,0,0,0,0,0,0,0,0.846034256294165,0.888788879321602,0.891254187653439,0,0,0,0.851825936706629,0,0,0.886486384707887,0.842033680229646,0,0,0,0.886499489907435,0,0,0,0.88565705705445,0.8855551343983,0,0.885896226339578,0.927634304239966,0,0.891566438333151,0,0,0,0,0,0,0,0.888836758485644,0.889386859624878,0.886347077056324,0.850725203867749,0.887998504535706,0.845383061306341,0.848114599334892,0.888826052818782,0.92918191101261,0.927393389786055,0.886280532832274,0,0.890282983776071,0.886664248329035,0.845835663590698,0.888297789898079,0.89048354385614,0.890944779083379,0,0.886635166385035,0,0.886268362522171,0.888648299711737,0.848996199768371,0.886791992399689,0.892270964878873,0.846950135552254,0.888819840030838,0,0.885342844449405,0.844421408931744,0.886651579628314,0,0.889007662505099,0,0.887234390360598,0.886187619784459,0.887765338671682,0,0.888020106682854,0.887633362557157,0,0,0.889711357268474,0.886013844277457,0.886542806610553
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.925121010030098,0.888804582835651,0.891232648657788,0.926830693057083,0,0.887503802388339,0.889877090628426,0,0,0,0,0,0,0,0.846034256294165,0.888788879321602,0.891254187653439,0,0,0,0.851825936706629,0,0,0.886486384707887,0.842033680229646,0,0,0,0.886499489907435,0,0,0,0.88565705705445,0.8855551343983,0,0.885896226339578,0.927634304239966,0,0.891566438333151,0,0,0,0,0,0,0,0.888836758485644,0.889386859624878,0.886347077056324,0.850725203867749,0.887998504535706,0.845383061306341,0.848114599334892,0.888826052818782,0.92918191101261,0.927393389786055,0.886280532832274,0,0.890282983776071,0.886664248329035,0.845835663590698,0.888297789898079,0.89048354385614,0.890944779083379,0,0.886635166385035,0,0.886268362522171,0.888648299711737,0.848996199768371,0.886791992399689,0.892270964878873,0.846950135552254,0.888819840030838,0,0.885342844449405,0.844421408931744,0.886651579628314,0,0.889007662505099,0,0.887234390360598,0.886187619784459,0.887765338671682,0,0.888020106682854,0.887633362557157,0,0,0.889711357268474,0.886013844277457,0.886542806610553
"Ion transport by P-type ATPases",0.884590337663383,0.851604011852901,0,0.886081064657395,0,0.852221958095057,0.853860043686322,0,0,0,0,0,0,0,0,0,0.855060778369978,0,0,0,0,0,0,0.850306189723644,0,0,0,0,0,0,0,0,0.849166502978779,0,0,0.851028805786022,0.886781758800172,0,0,0,0,0,0,0,0,0,0.851632066825219,0.852688757871625,0.850038274794151,0,0,0.822202463391802,0,0,0.851790831134158,0.852952945011594,0.848902777542531,0,0.854790995199481,0,0,0.853476611127765,-0.0272158240446986,0,0.814835998429345,0,0,0,0,0,0.850156089193827,0.855947338763295,0.81870265091652,0,0,0,0,0.851478877972468,0,0.852358123845561,0,0.850234911106499,0.849322198557005,0,0,0.850920002151293,0,0,0,0.817319144270127,0,0.850952775430925
"Neurexins and neuroligins",0.917433523042972,0,0,0.893845765309211,0,0,0.894770230908167,0,0,0,0,0,0,0,0.896828158177683,0.894799837952517,0.870425914785923,0,0,0,0,0,0,0.893471990962568,0.894029500092319,0,0,0,0.916096787177539,0,0,0,0.8929937183005,0.916375145102445,0,0.916024406356248,0.893628854255434,0,0.89694910046322,0.872317182994435,0,0,0,0,0,0,0,0,0.892721015515838,0.873223852537574,0.8936868516578,0.89514092695232,0.87233213526349,0.895501628927387,0.893677166048728,0.894170272108649,0.892479642061008,0,0.871003540424237,0.892700930512384,0.896487492824865,0.89517380475808,0,0,0,0.893341336699549,0,0.915963496180465,0,0.897224621308215,0.89337271385393,0,0.896044657544378,0,0,0.89253699127186,0,0,0,0.894650489212302,0,0.892967331063165,0.89291803656743,0.869651545197867,0,0.893482853051179,0.87126546307013,0,0.893526246839411,0.895056309476908,0.892923956390749,0.892630895160562
"RA biosynthesis pathway",0,0,0.782817715021324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781743648130016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD22 mediated BCR regulation",0.702278614358674,0.575339884854287,0,0.707421755439147,0,0,0.574764236471876,0,0,0,0,0,0,0,0,0,0.578906878218531,0,0,0,0,0,0,0,0,0,0,0,0.704074253793612,0,0,0,0.564060193023733,0.705526255133294,0,0.705133895212697,0.576161406101143,0,0.586129896400511,0,0,0,0,0,0,0,0.575436677010878,0,0.703615758982955,0.589557939396158,0,0,0,0,0.705105087112388,0.575436677010878,0.563944918587964,0,0.577976102219586,0,0,0.577243371815056,0.578579435568884,0,0.56995474926328,0.56843978529592,0,0.703378966578841,0,0.591369110517532,0.567474353722321,0,0,0,0,0.700594783811841,0,0,0,0.575950797739339,0,0.704294171797652,0.567467425478939,0,0,0.569177978513237,0.575244613274351,0,0,0,0.565133495498327,0
"Vasopressin regulates renal water homeostasis via Aquaporins",0.891947911360713,0.822091472521224,0,0.861511229678316,0,0.894592209985453,0.863349034041355,0,0.825939152372677,0,0,0,0,0,0,0,0.863929469657432,0,0,0,0,0.825568855493189,0,0.892809317030793,0.861769757183887,0,0,0,0.892432274497024,0,0,0,0.891748677603678,0.892823943285943,0,0.892330429691904,0.862700342045712,0,0.866414853705462,0,0,0,0,0,0.865291556813191,0.864934203926261,0.822117581634014,0.822600051785421,0.892308598228754,0.863999517971117,0.861287627216085,0.863333611392004,0.862716211551755,0.863841143935876,0.892710335698834,0.893791846739267,0.860430586918267,0,0.864215415864288,0.860204937486481,0.863700878070187,0.86299219590923,0.860848579623459,0.862167424612741,0,0.892930046762456,0,0.892244724875741,0.859300960497566,0.866265512990002,0.860845613670983,0.865291556813191,0.864605222633604,0,0,0.859669694387562,0,0.893900669016784,0,0.862643531683524,0,0.892491596080242,0.891642188188136,0.862172458534443,0.826415261509048,0.893129170024613,0.860758053659102,0,0.862337873035839,0.863214548771002,0.860214180985238,0.85859541920441
"GABA B receptor activation",0.932989320733359,0,0,0.904726754322651,0,0.935488835949616,0.905448704914752,0,0,0,0,0,0,0,0,0,0.905850630578334,0,0,0,0,0,0,0.933803561817777,0,0,0,0,0.903873225811059,0,0,0,0.932800995631708,0.904243449540132,0,0.903776957319402,0.905343144973407,0,0.908854275799419,0,0,0,0,0,0.907792482835365,0,0,0,0.933330258896143,0.906775263883068,0,0,0.871173992889808,0,0.9337100000154,0.934732295030349,0.902323601331505,0,0.905901199358065,0.901556128120327,0.870483817659548,0.905619018948442,0.9034843488314,0.904839406394012,0,0.933917681228695,0,0.903695945103118,0.901835831400538,0,0.901298341169785,0.907792482835366,0,0,0,0,0,0.934835158956525,0,0.904194876217842,0,0.903055234831804,0.932700336836204,0.90484416469316,0,0.902326645826691,0,0,0,0,0.903500722998411,0.901462979167851
"Activation of GABAB receptors",0.932989320733359,0,0,0.904726754322651,0,0.935488835949616,0.905448704914752,0,0,0,0,0,0,0,0,0,0.905850630578334,0,0,0,0,0,0,0.933803561817777,0,0,0,0,0.903873225811059,0,0,0,0.932800995631708,0.904243449540132,0,0.903776957319402,0.905343144973407,0,0.908854275799419,0,0,0,0,0,0.907792482835365,0,0,0,0.933330258896143,0.906775263883068,0,0,0.871173992889808,0,0.9337100000154,0.934732295030349,0.902323601331505,0,0.905901199358065,0.901556128120327,0.870483817659548,0.905619018948442,0.9034843488314,0.904839406394012,0,0.933917681228695,0,0.903695945103118,0.901835831400538,0,0.901298341169785,0.907792482835366,0,0,0,0,0,0.934835158956525,0,0.904194876217842,0,0.903055234831804,0.932700336836204,0.90484416469316,0,0.902326645826691,0,0,0,0,0.903500722998411,0.901462979167851
"Signal amplification",0.918663371098536,0.837716143102166,0,0.883087622160676,0,0.880865998153203,0.883535111172491,0,0,0,0.842037089889834,0,0.843499714172962,0,0,0,0.883725663113734,0,0,0,0,0.839098930136292,0.843499714172962,0.919688304077841,0,0,0,0,0.882013235793973,0.80343787647592,0,0,0.918426315254502,0.882479258102243,0,0.881892057000794,0.882763272951732,0,0.887182939125674,0.845583542436022,0,0,0,0,0,0.844147482607906,0.83774720871003,0.838917295399461,0.919092529947958,0.885576537485775,0,0,0.882545850299158,0.843136056709696,0.916556891463001,0.920857355009755,0.879401135888364,0.844562472337711,0.883904468223578,0.834866102320791,0.842963344627422,0.883571804209577,0.882052967944128,0,0,0.919831952869418,0,0.881790082175665,0.880113818976459,0.842860750437719,0.878321553239962,0.885846398085337,0,0.840779339095937,0,0.835012796510817,0,0.880043176607039,0,0.882195605575712,0,0.882083818852729,0.918299610128535,0.882596449740746,0,0.882842428396444,0.842693490412553,0.83756523191923,0,0.839910193842203,0.881544344669621,0.835532396905857
"Class B/2 (Secretin family receptors)",0.851228025110118,0.833678948824767,0.835172052988936,0.833422586742777,0,0.832357856503909,0.833877416165736,0,0,0,0,0,0,0,0,0,0.853420127459021,0,0,0,0,0,0.813918716914519,0.787832823721328,0.833256744174345,0,0.832995422249864,0,0.832884863130312,0,0,0,0.851109380152623,0.83311810436164,0,0.832824213907237,0.833736773616976,0,0.83602292841722,0,0.835630768261203,0,0,0,0,0.835691853462116,0.833694496965922,0.812158633424831,0.851442816412376,0.834810065361698,0.831900077822431,0.833118474288966,0.834371025029664,0.832996803544265,0.851362256280037,0.852251960539602,0.832459259844346,0,0.83488290987893,0.832252521356835,0.811772101918242,0.833984714136695,0.832996803544265,0,0,0.851812892929344,0.832928920891899,0.832773176149268,0.832109964117029,0.813299358170284,0.831262683844927,0.835353998041061,0.833875726794535,0,0,0.830936588630009,0,0.831946039500333,0,0.83377708239369,0,0.832920189506846,0.851045965034781,0.833176758038901,0,0.833299868807458,0.81374296185015,0,0.83414572205989,0.833886262676886,0.85128178935358,0.811303260502951
"Transport of small molecules",0.922018728415731,0.91828143950906,0.914296994789487,0.922187624990924,0,0.922340650637816,0.918330692333626,0,0.914285173196025,0,0.914564760763054,0,0.918454490688802,0,0.910326602311172,0,0.91849282740237,0,0,0,0,0.91424781243115,0.918842599599346,0.922123597670978,0.918160830381385,0,0.91408978090973,0.922682145553192,0.922077695756136,0.914335167885426,0,0,0.921994473298257,0.922125378300637,0,0.922065296965142,0.921958662137483,0.913965921710864,0.918910282728053,0.91853092349704,0.913746633116986,0,0.915015805617798,0.914452238391171,0.918773530309761,0.918730025452045,0.918284618084856,0.918531225365616,0.922062639158999,0.918572576755824,0.918145110122036,0.917685620123537,0.918460002608525,0.918596954134878,0.921829291376998,0.926589533730316,0.918069171930748,0.918563230147378,0.918462261474655,0.917906463301578,0.918631353392238,0.918493601498146,0.918596954134878,0.918329329396056,0.914757906648069,0.922138295550834,0.914076185740718,0.9220548630888,0.917950319569368,0.918452759308378,0.918048323295228,0.918708152716886,0.917906338328056,0.918432599764042,0.914022503080563,0.917568106317641,0.91433772413145,0.922256461052262,0,0.91828741379503,0,0.922084917684744,0.921981509063068,0.918328427431927,0.914040652088804,0.922162537216439,0.918221612536353,0.914278980867566,0.918413942918214,0.918196536422159,0.917618030864831,0.918207655642695
"GABA receptor activation",0.887786512328794,0,0,0.864317493560147,0,0.889862090628033,0.86491699580456,0,0,0,0,0,0,0,0,0,0.865053432328302,0,0,0,0,0,0,0.888462651891448,0,0,0,0,0.863608730018753,0,0,0,0.887630128606204,0.863916160968935,0,0.863528789400315,0.864829339637435,0,0.867744955794064,0,0,0,0,0,0.866863251045824,0,0,0,0.88806962476894,0.865959409815526,0,0,0.836455537346963,0,0.888384958887065,0.889233864840767,0.862082869414253,0,0.863409591897896,0.861684629836119,0.837870494364124,0.865058423274207,0.863285809552095,0.86441103897774,0,0.888557415776574,0,0.887782935210735,0.861916893298592,0,0.86147056552601,0.866863251045823,0,0,0,0,0,0.889319282257535,0,0.863875826053985,0,0.862929476572137,0.887546542313064,0.864414990232922,0,0.862324461840383,0,0,0,0.864689591926539,0.86329940653502,0.861607279659133
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72157226556328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768345819902162,0,0,0.72136941897716,0,0,0,0,0,0,0.718625584389377,0.761214747188162,0,0,0,0,0,0,0,0,0,0.76077636792204,0,0,0,0,0,0,0,0,0,0,0.721002467785544,0,0,0,0,0,0,0,0,0,0,0.71985945746887,0,0,0,0.717589221886162
"ADP signalling through P2Y purinoceptor 12",0.915774519157292,0,0,0.870558647715388,0,0.867735020145674,0.871713660486892,0,0,0,0,0,0,0,0,0,0.872356681324761,0,0,0,0,0,0,0.917077182887852,0,0,0,0,0.869193129988112,0,0,0,0.915473227212965,0.86978543248093,0,0.869039114826169,0.871544780397662,0,0.877162063617367,0,0,0,0,0,0,0,0,0,0.916319969132148,0.873835956066841,0,0,0.816797233949794,0,0.91692749802319,0.918563016868151,0.866713963013943,0,0.872437583795192,0,0.819561712195864,0.871986137421228,0.869357588859731,0,0,0.91725975684586,0,0.868909507418849,0.866779019556164,0,0.86507370037844,0.875463353972147,0,0,0,0,0,0.866689234902586,0,0.870031857578566,0,0.869282839259342,0.915312188222704,0.870746486715631,0,0.870247012681611,0,0,0,0,0.868597181303068,0
"Unblocking of NMDA receptors, glutamate binding and activation",0.922115199343797,0.882765251253521,0.887554844356331,0.923893512884025,0,0.883502409817076,0.885456509929773,0,0,0,0,0,0,0,0.841271579029249,0.840318719573579,0.885703592522854,0,0,0,0,0,0,0.881217057201534,0.838538924481009,0,0,0,0.882631685992502,0,0,0,0.879857505534359,0.881948441730313,0,0.881315844815287,0.924729382823097,0.840611710042511,0.84380475327172,0.841839892438576,0,0,0,0,0,0,0.882798718506307,0.884059263195716,0.880575224487518,0.844990047468448,0.883502513175732,0,0,0,0.882988111145888,0.883686055264251,0.881715578232985,0,0.885381763598478,0.834779927308857,0,0.884310745464861,0,0,0,0.837688147949562,0,0.882391280635341,0.837531984222301,0,0.882247568935155,0.8879464796645,0.840175460535702,0,0,0.835847016370745,0,0.88261597692307,0,0.88405524806986,0,0.882707725742958,0.880043237432973,0.883948348766717,0,0.883524982481542,0.838726413955991,0,0,0,0.839105572076515,0.881988380269269
"Aquaporin-mediated transport",0.891947911360713,0.822091472521224,0,0.861511229678316,0,0.894592209985453,0.863349034041355,0,0.825939152372677,0,0,0,0,0,0,0,0.863929469657432,0,0,0,0,0.825568855493189,0,0.892809317030793,0.861769757183887,0,0,0,0.892432274497024,0,0,0,0.891748677603678,0.892823943285943,0,0.892330429691904,0.862700342045712,0,0.866414853705462,0,0,0,0,0,0.865291556813191,0.864934203926261,0.822117581634014,0.822600051785421,0.892308598228754,0.863999517971117,0.861287627216085,0.863333611392004,0.862716211551755,0.863841143935876,0.892710335698834,0.893791846739267,0.860430586918267,0,0.864215415864288,0.860204937486481,0.863700878070187,0.86299219590923,0.860848579623459,0.862167424612741,0,0.892930046762456,0,0.892244724875741,0.859300960497566,0.866265512990002,0.860845613670983,0.865291556813191,0.864605222633604,0,0,0.859669694387562,0,0.893900669016784,0,0.862643531683524,0,0.892491596080242,0.891642188188136,0.862172458534443,0.826415261509048,0.893129170024613,0.860758053659102,0,0.862337873035839,0.863214548771002,0.860214180985238,0.85859541920441
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427552102959626,0,0,0,0,0,0,0,-0.0427552102959626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427552102959626,0,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.923303064018853,0,0,0.885561528857077,0,0.926640890458635,0.886525614116032,0,0,0,0,0,0,0,0,0,0.887446790987564,0,0,0,0,0,0,0.924390393034596,0,0,0,0,0.884421735822584,0,0,0,0.923051576650631,0.884916128712652,0,0.884293179887144,0.886384650475999,0,0.891073377805352,0,0,0,0,0,0.891562731743726,0,0,0,0.923758349270437,0.88839708979626,0,0,0.841210708599493,0,0.92426545158367,0.925630613639082,0.882841737461781,0,0.887619224394566,0.883234768977055,0.84397322952661,0.886753049692747,0.88446388679303,0.887619224394566,0,0.924542786900645,0,0.884184997022044,0.882323658902631,0,0.880983261842053,0.889655470602411,0,0,0,0,0,0.925767977048697,0,0.885961258657442,0,0.883818753174926,0.92291715794942,0.885718317436095,0,0.884134191535322,0,0,0,0,0.883924299468181,0.883110378841564
"Post-translational modification: synthesis of GPI-anchored proteins",0.831925335039861,0,0,0.832749951215001,0,0,0,0.893081166595949,0,0.855914370787429,0,0.818300471968949,0,0.893081166595949,0,0,0.855916007477776,0.829346833121232,0.893081166595949,0,0,0,0,0,0,0,0.870872475143363,0,0.871582738865279,0,0,0,0.830790169710262,0.871815542860404,0,0.871522203335808,0,0.854754761946852,0.834328675479456,0.873716640571366,0,0,0,0,0,0,0,0,0.832139723692327,0,0,0,0,0,0.832378512410429,0.872390854953695,0.851865450253554,0,0,0.852050524328858,0,0.832294282054569,0,0,0.832141742485831,0,0.870806098449468,0.8714712612537,0.853326671979086,0.834239908857816,0.849934249259531,0,0,0,0,0,0,0,0,0.872792483397704,0,0.832248495777648,0.830726873470995,0.872193284416591,0,0,0.831973814737597,0,0,0,0,0
"Signaling by Retinoic Acid",0.711411716321198,0.713311191924862,0.67998790653474,0.71286136155268,0,0,0,0,0,0,0.717105848891413,0,0,0,0,0,0,0,0,0,0,-0.0264658047420597,0,0,0,0,0.677127987669329,0,0,0.680464212275508,0,0,0.711203533796806,0,0,0.676169117364869,-0.0264658047420597,0,0,0.715822383375542,0,0,0.681859329552485,0,0,0,0.713338473752456,-0.0264658047420597,0.711788603771506,0,0,0,0,0.679204864270723,-0.0264658047420597,-0.0264658047420597,0.710265848920448,0,0,-0.0264658047420597,0,0,-0.0264658047420597,-0.0264658047420597,0.716631489417445,-0.0264658047420597,0.677011299856638,0,-0.0264658047420597,0,0.677182006824382,0,0,0,0,0.675324994359979,-0.0264658047420597,0,0,-0.0264658047420597,0.682157234980671,0.675888759359383,0.711092261311266,0,0,0.674227969179678,-0.0264658047420597,0.713178661671703,0,0,0,-0.0264658047420597
"G beta:gamma signalling through BTK",0.891892759658167,0,0,0.840823454349044,0,0.837912266441788,0.843045227785027,0.790380381543658,0,0.791042542358684,0,0.791042542358684,0,0.790380381543658,0,0,0.843374464182557,0.791042542358684,0.790380381543658,0,0,0,0,0.893364060103113,0,0,0,0,0.839281163124846,0,0,0,0.891552463877032,0.839950142310174,0,0.839107209885051,0.841937247126235,0,0.848281717388707,0,0,0,0,0,0,0,0,0,0.892508821019111,0.844803000807701,0,0,0,0,0.893194997740499,0.895042243156071,0.837143215679682,0,0.843607789463841,0,0,0.842435740152422,0.839744885263469,0,0.782928021508785,0.893570269226274,0,0.838960824112894,0.8372012650203,0,0.83462845154975,0.846363100789339,0,0,0,0.779776734410551,0,0.836731098764069,0,0.841840213737591,0,0.839382485736032,0.891370577537168,0.841035610102023,0,0.840471476510788,0,0,0,0,0.838608065728412,0
"Peptide hormone metabolism",0.72443602769785,0.704917538099342,0.706170261628577,0.704643823839896,0,0.705101577487897,0.682628504761063,0,0.682587834100211,0,0.685236324241587,0,0.666236327967795,0,0.706104575118651,0.682687350963012,0.706086421447543,0,0,0.683283593040594,0.685572344582151,0.68369565073736,0.684348100363187,0.724202138497036,0.683950523873813,0,0,0,0.704362049606878,0.681985776077332,0.706304470401802,0,0.723527769244667,0.704804727427726,0,0.704543785565901,0.704557156789082,0,0.706638589916034,0,0,0,0,0,0,0.706478755127125,0.704934138635228,0.683569198955604,0.723883774540779,0.707066688620631,0.681626583996231,0.683042549150504,0.705068524825367,0.682806652907342,0.724825834764874,0.705962211801616,0.703467499175076,0.666804234288164,0.705520461727778,0.703225331660504,0.705963427139078,0.705243999506071,0.705343632758273,0.6846488656241,0.66372775491192,0.725500622675395,0,0.704242802957495,0.704236931743325,0.684906692834129,0.723706996739558,0.683702297030882,0.683851057207416,0,0,0.681198252104066,0.683441928239433,0.704661886152556,0,0.704845169961629,0.665476180782086,0.703959627419036,0.723460061797906,0.724615504990575,0,0.704365005772135,0.704901198353051,0.704836895656455,0.705074462249783,0.704424676502789,0.682961466960344,0.682247503316727
"G alpha (i) signalling events",0.949332622421592,0.942391462853202,0,0.950282992721351,0,0.949973685584305,0.942789194005914,0,0.934248574667415,0,0.934687526861182,0,0.935450898823555,0,0.93422249164478,0.942873130931901,0.943154085994008,0,0,0,0.935071889066889,0.934289925577729,0.93443762562194,0.950155491252336,0.942462679368719,0,0.933236451406888,0,0.942181095249684,0.933107402966733,0,0.934163312736213,0.950440832927007,0.941662012030854,0,0.950039393535846,0.950441081512918,0.935048502389446,0.943626432795448,0.933873809278784,0.934125577906536,0,0,0,0.943484299795049,0.943397665944485,0.942397792543149,0.94282294464806,0.949420064536568,0.943024294199681,0.942187551702951,0.93388936090167,0.942859953148672,0.943038687644851,0.949517458639768,0.950393688102148,0.941849587179402,0.935667438274527,0.942573821892175,0.941884830725438,0.934208424129899,0.942628847542935,0.942964850239289,0.94272690951756,0.933317847216168,0.94957072367875,0.933209378525779,0.942135627180283,0.94987276792904,0.943552595389886,0.94950758961148,0.942951601583639,0.93427284712803,0.942711398860338,0.933901402208317,0.942121379256047,0.934090469984868,0.950420070127516,0,0.94251626662119,0,0.950078465459744,0.95044145467571,0.942728129902329,0.934059433560548,0.9496189975715,0.942571976817939,0.933881932593071,0.94276823170567,0.942812943387931,0.941639343996507,0.942357439395605
"Inwardly rectifying K+ channels",0.928434473546316,0,0,0.894627286270839,0,0.892700119371289,0.896098070143447,0,0,0,0,0,0,0,0,0,0.896754361648226,0,0,0,0,0,0,0.929408454480259,0,0,0,0,0.893606310404139,0,0,0,0.928209202355877,0.894049165549022,0,0.893491155719356,0.895364601978908,0,0.899564555219485,0,0,0,0,0,0,0,0,0,0.928842297809375,0.897261692037374,0,0,0,0,0.929296537489818,0.930519388894002,0.892798217410479,0,0.897077677553011,0,0,0.895694597599366,0.893913288168753,0,0,0.929544962122226,0,0.893394250324152,0.892045431591807,0,0.890526278463113,0.898294457059895,0,0,0,0,0,0.891918202393123,0,0.895300367192044,0,0.893673384598136,0.928088796066474,0.89476773050107,0,0.894394281717072,0,0,0,0,0.893160729059373,0
